year,plev,ch4
2015,100000.0,1.8412393e-06
2016,100000.0,1.8508579e-06
2017,100000.0,1.8728451e-06
2018,100000.0,1.8861743e-06
2019,100000.0,1.898526e-06
2020,100000.0,1.9102254e-06
2021,100000.0,1.9209756e-06
2022,100000.0,1.9312317e-06
2023,100000.0,1.9411782e-06
2024,100000.0,1.9506592e-06
2025,100000.0,1.959933e-06
2026,100000.0,1.968783e-06
2027,100000.0,1.9774009e-06
2028,100000.0,1.9857744e-06
2029,100000.0,1.9938668e-06
2030,100000.0,2.0017767e-06
2031,100000.0,2.0094524e-06
2032,100000.0,2.0165905e-06
2033,100000.0,2.0227433e-06
2034,100000.0,2.0280183e-06
2035,100000.0,2.032541e-06
2036,100000.0,2.0363086e-06
2037,100000.0,2.0393436e-06
2038,100000.0,2.041807e-06
2039,100000.0,2.0435755e-06
2040,100000.0,2.0448008e-06
2041,100000.0,2.0454956e-06
2042,100000.0,2.0456066e-06
2043,100000.0,2.044756e-06
2044,100000.0,2.0431685e-06
2045,100000.0,2.040825e-06
2046,100000.0,2.0378218e-06
2047,100000.0,2.034153e-06
2048,100000.0,2.0299199e-06
2049,100000.0,2.0251628e-06
2050,100000.0,2.0198618e-06
