year,plev,co2
1990,100000.0,0.00035403884
1991,100000.0,0.00035531304
1992,100000.0,0.00035620606
1993,100000.0,0.00035690636
1994,100000.0,0.0003582265
1995,100000.0,0.00036019276
1996,100000.0,0.00036196542
1997,100000.0,0.00036322413
1998,100000.0,0.00036585683
1999,100000.0,0.00036779066
2000,100000.0,0.0003690864
2001,100000.0,0.00037063254
2002,100000.0,0.00037277275
2003,100000.0,0.00037533618
2004,100000.0,0.00037694955
2005,100000.0,0.00037885367
2006,100000.0,0.0003809547
2007,100000.0,0.00038255547
2008,100000.0,0.00038468468
2009,100000.0,0.0003862344
2010,100000.0,0.0003886401
2011,100000.0,0.00039088534
2012,100000.0,0.0003929606
2013,100000.0,0.00039564638
2014,100000.0,0.00039749342
